Source,Target,Year
서민정,Wolfgang Welsch,2010
서민정,Wolfgang Iser,2010
김순규,William James,2010
김세희,Wiliam Steig,2010
서민정,Wilhelm Dilthey,2010
김경희,Walter J. Ong,2010
김상욱,Vivian Paley,2010
조태봉,Tzvetan Todorov,2010
여을환,Tzvetan Todorov,2010
박종순,Tzvetan Todorov,2010
김순규,Susanne Langer,2010
김숙분,Sigmund Freud,2010
김숙분,Sigmund Freud,2010
김숙분,Sigmund Freud,2010
김순규,Sigmund Freud,2010
김순규,Sigmund Freud,2010
김상욱,Rudine Sims Bishop,2010
선안나,Rosie Jackson,2010
조태봉,Rosie Jackson,2010
박종순,Rosie Jackson,2010
오세란,Robert Cormier,2010
김순규,René Descartes,2010
김순규,R. G. Collingwood,2010
마성은,Pierre Macherey,2010
서민정,Philip Zeltner,2010
서민정,Perry Nodelman,2010
서민정,Perry Nodelman,2010
김세희,Perry Nodelman,2010
김상한,Northrop Frye,2010
박종순,Murray Bookchin,2010
김상욱,Mingshui Cai,2010
김상욱,Mikhail Bakhtin,2010
김순규,Max Müller,2010
조태봉,Maria Nikolajeva,2010
조태봉,Maria Nikolajeva,2010
김민령,Maria Nikolajeva,2010
한명숙,M. H. Abrams,2010
한명숙,Louise Rosenblatt,2010
한명숙,Louise Rosenblatt,2010
한명숙,Louise Rosenblatt,2010
김순규,Louise Rosenblatt,2010
김순규,Louise Rosenblatt,2010
서민정,Louise Rosenblatt,2010
서민정,Louise Rosenblatt,2010
마성은,Louis Althusser,2010
김상욱,Leo Lionni,2010
김세희,Laurence Anholt,2010
김세희,Laurence Anholt,2010
김세희,Kathy Pike,2010
김숙분,Josh Cohen,2010
김민령,John Rowe Townsend,2010
서민정,John Dewey,2010
서민정,John Dewey,2010
김세희,Johannes Amos Comenius,2010
서민정,Jerome Stolnitz,2010
김상욱,James A. Banks,2010
김숙분,Jacques Lacan,2010
김순규,Immanuel Kant,2010
서민정,Herbert Read,2010
김순규,Herbert Marcuse,2010
김경희,Hans-Heino Ewers,2010
김순규,Gilles Deleuze,2010
김상욱,Gary Morson,2010
김세희,Evelyn B. Freeman,2010
김순규,Ernst Cassirer,2010
서민정,Ellen Winner,2010
김숙분,Elizabeth Wright,2010
김숙분,Elizabeth Wright,2010
김세희,David Wiesner,2010
김세희,David Wiesner,2010
김순규,Colin Radford,2010
김세희,Chris Van Allsburg,2010
김숙분,Carl Jung,2010
김상한,Bruno Bettelheim,2010
김세희,Brenda Z. guiberson,2010
김세희,Bernice E. Cullinan ,2010
김민령,Benedict Anderson,2010
김세희,Babara Cooney,2010
김세희,Anthony Browne,2010
김숙분,Ann Jefferson,2010
김영순,稲田浩二,2010
박종순,冨田博之,2010
김순규,황창훈,2010
정혜원,황정현,2010
한명숙,황정현,2010
김순규,황정현,2010
마성은,황정상,2010
김유진,황인덕,2010
남지현,황수대,2010
김상한,황선미,2010
임지연,홍은표,2010
김세희,현은자,2010
김유진,현용준,2010
김유진,현용준,2010
김영순,현덕,2010
오세란,한혜정,2010
장영미,한정동,2010
장영미,한정동,2010
박영기,한용희,2010
박종순,한옥근,2010
김세희,한병호,2010
한명숙,한명숙,2010
한명숙,한명숙,2010
한명숙,한명숙,2010
한명숙,한명숙,2010
한명숙,한명숙,2010
김순규,한명숙,2010
김순규,한명숙,2010
서민정,한명숙,2010
권혁준,한명숙,2010
정혜원,한국인문과학원편집위원회,2010
김세희,한국어린이문학교육학회,2010
김상욱,한국아동청소년문학학회,2010
권혁준,프린스,2010
김상한,표정옥,2010
정선혜,표언복,2010
정선혜,표언복,2010
김영순,坪田譲治,2010
오세란,최현주,2010
김순규,최현섭,2010
김숙분,최지훈,2010
김순규,최지현,2010
서민정,최준호,2010
오세란,최이숙,2010
임지연,최원식,2010
마성은,최원식,2010
이지호,최운식,2010
권나무,최요안,2010
신현득,최영주,2010
송수연,최애순,2010
송수연,최애순,2010
송수연,최애순,2010
오세란,최배은,2010
권나무,최배은,2010
김숙분,최명표,2010
최명표,최명표,2010
선안나,최기숙,2010
김유진,초록인,2010
조태봉,차은정,2010
김유진,진은진,2010
임지연,진성희,2010
김유진,진성기,2010
김순규,진선희,2010
서민정,진선희,2010
임지연,주평,2010
임지연,주평,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
정혜원,주요섭,2010
김민령,佐藤さとる,2010
김유진,조희웅,2010
김유진,조희웅,2010
김유진,조희웅,2010
오세란,조항미,2010
조태봉,조태봉,2010
조태봉,조태봉,2010
조태봉,조태봉,2010
최명표,조철호,2010
조태봉,조은이,2010
선안나,조은숙,2010
오세란,조은숙,2010
여을환,조은숙,2010
송수연,조은숙,2010
송수연,조은숙,2010
김민령,조은숙,2010
김영순,鳥越信,2010
송수연,조성면,2010
송수연,조성면,2010
김세희,조선아동문화협회,2010
임지연,조동희,2010
장영미,조동일,2010
한명숙,조동일,2010
한명숙,조동일,2010
이지호,조동일,2010
김상욱,조대현,2010
김숙분,조대경,2010
최명표,조규태,2010
최명표,정홍교,2010
최명표,정홍교,2010
최명표,정홍교,2010
조태봉,정혜원,2010
송수연,정혜영,2010
송수연,정혜영,2010
김상욱,정진,2010
남지현,정정순,2010
김유진,정재민,2010
박영기,정순철,2010
박영기,정순철,2010
정선혜,정선혜,2010
정선혜,정선혜,2010
정혜원,정선혜,2010
정혜원,정선혜,2010
김세희,정병규,2010
마성은,정룡진,2010
마성은,정룡진,2010
김순규,정대현,2010
서민정,정경훈,2010
장영미,전원범,2010
정선혜,전영택,2010
정선혜,전영택,2010
정선혜,전영택,2010
정선혜,전영택,2010
김영순,槇本楠郎,2010
김숙분,전병호,2010
오세란,전명희,2010
임지연,전동희,2010
마성은,전덕성,2010
김유진,赤松智城,2010
장영미,장영미,2010
김상한,장영란,2010
김상한,장영란,2010
정혜원,장양수,2010
오세란,장수경,2010
권나무,장수경,2010
김상욱,장성태,2010
김영순,長谷川潮,2010
김세희,장경혜,2010
정선혜,임희종,2010
김순규,임일환,2010
김상욱,임영심,2010
임지연,임수선,2010
남지현,임성실,2010
김경희,임석재,2010
김경희,임석재,2010
임지연,이희환,2010
마성은,이화여자대학교 통일학연구원,2010
마성은,이화여자대학교 통일학연구원,2010
서민정,이홍우,2010
김상한,이혜정,2010
김상욱,이혜은,2010
이지호,이형진,2010
김세희,이형진,2010
조태봉,이현,2010
오세란,이태준,2010
한명숙,이태동,2010
박종순,이진아,2010
남지현,이진경,2010
권혁준,이지호,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
박상재,이준연,2010
