Author,In-Degree Centrality
원종찬,0.0206
이재철,0.0179
조은숙,0.0132
이원수,0.0095
Maria Nikolajeva,0.0091
김용희,0.0081
김상욱,0.0076
염희경,0.0076
윤석중,0.0073
이오덕,0.0066
선안나,0.0064
권혁준,0.0061
이재복,0.0059
신현득,0.0059
장정희,0.0059
김제곤,0.0056
박상재,0.0056
방정환,0.0056
박영기,0.0054
Perry Nodelman,0.0054
최명표,0.0051
임성규,0.0049
김경희,0.0049
최윤정,0.0047
김종헌,0.0047
김윤식,0.0047
신헌재,0.0047
장수경,0.0047
정선혜,0.0044
권영민,0.0042
김환희,0.0039
류덕제,0.0039
박목월,0.0039
오세란,0.0037
강소천,0.0034
김영순,0.0034
김화선,0.0034
정혜원,0.0034
나병철,0.0034
박태일,0.0034
선주원,0.0034
김유진,0.0032
김자연,0.0032
조동일,0.0032
김요섭,0.0032
최지훈,0.0032
마해송,0.0029
이지호,0.0029
김현숙,0.0029
강진호,0.0029
이정석,0.0029
이상현,0.0029
최덕교,0.0029
大竹聖美,0.0027
장영미,0.0027
권혁래,0.0027
진선희,0.0027
김준오,0.0027
박숙자,0.0027
최기숙,0.0027
최배은,0.0027
최애순,0.0027
박진영,0.0027
박현수,0.0027
이재선,0.0027
권보드래,0.0027
최원식,0.0024
Sigmund Freud,0.0024
김성진,0.0024
조대현,0.0024
박숙경,0.0024
최운식,0.0024
김경연,0.0024
교육부,0.0024
권정생,0.0024
이상금,0.0024
노경수,0.0024
박금숙,0.0022
송수연,0.0022
이정현,0.0022
이충일,0.0022
Tzvetan Todorov,0.0022
남미영,0.0022
유경환,0.0022
박덕규,0.0022
Bruno Bettelheim,0.0022
경희대학교 한국아동문학연구센터,0.0022
이영미,0.0022
柄谷行人,0.0022
김정의,0.002
한기형,0.002
박지영,0.002
김재용,0.002
최미선,0.002
박경수,0.002
장만호,0.002
박성애,0.002
신정아,0.002
현은자,0.002
천정환,0.002
Slavoj Zizek,0.002
어효선,0.002
