Author,Betweenness Centrality
원종찬,0.147
류덕제,0.0997
오세란,0.0678
장수경,0.0645
이재철,0.0618
박금숙,0.0541
진선희,0.0494
염희경,0.0399
조은숙,0.0397
최미선,0.0394
최윤정,0.0382
정진헌,0.038
박종진,0.036
김상욱,0.0353
염창권,0.0351
마성은,0.0343
김유진,0.0322
이지영,0.0321
신정아,0.0317
선주원,0.031
두전하,0.0309
김제곤,0.0302
최미경,0.0298
권혁준,0.0276
위종선,0.027
김화선,0.0269
최은경,0.0268
장정희,0.0267
김상한,0.0256
박성애,0.0256
김태호,0.0254
이향근,0.0252
박영기,0.0251
방은수,0.0242
김종헌,0.0234
김지은,0.0234
김금내,0.0227
이지현,0.0225
신헌재,0.0216
박종순,0.0215
김명옥,0.0213
김동연,0.0209
이은하,0.0207
김영순,0.0207
한명숙,0.0199
오판진,0.0194
최경희,0.0194
Maria Nikolajeva,0.0193
조성순,0.0187
서동수,0.0184
안점옥,0.0179
장영미,0.0178
김민령,0.0175
최명표,0.017
강정구,0.0169
진솔,0.0165
유영종,0.0165
김현숙,0.0158
이충일,0.0157
윤혜진,0.0156
이은주,0.0153
Perry Nodelman,0.0151
정선혜,0.0147
권애영,0.0146
전명희,0.0144
남지현,0.0133
이재복,0.0131
김세희,0.013
김경희,0.0129
정용호,0.0128
이지호,0.0128
김용희,0.0128
이원수,0.0125
박영지,0.0119
김경연,0.0117
선안나,0.0112
이미정,0.0111
박명옥,0.011
천효정,0.011
백정국,0.0108
정혜원,0.0108
오현숙,0.0104
전영경,0.0104
이근영,0.0103
김영선,0.0103
최애순,0.0102
최원오,0.01
김영진,0.0097
고지혜,0.0097
안수연,0.0097
심경순,0.0097
오영민,0.0093
송수연,0.0091
권혁래,0.0091
김순규,0.0091
서향숙,0.009
Bruno Bettelheim,0.0088
한양하,0.0084
김종태,0.0082
홍창수,0.0082
최수웅,0.0081
황윤희,0.008
이상진,0.008
박상재,0.0076
노혜진,0.0075
최매화,0.0074
장만호,0.0074
신동재,0.0072
이동순,0.0071
서민정,0.007
강민경,0.0068
박혜진,0.0066
최종환,0.0061
신수정,0.0061
박사문,0.0061
이성훈,0.006
강서희,0.0059
박인경,0.0058
윤석중,0.0057
강도희,0.0057
김기택,0.0056
황혜순,0.0054
이오덕,0.0053
신권익,0.0053
기도연,0.0051
김혜정,0.0051
최배은,0.0048
이한영,0.0047
황정현,0.0045
김윤식,0.0045
김찬곤,0.0045
권혜경,0.0044
김옥선,0.0044
방정환,0.0043
김은정,0.0041
김미혜,0.004
신현득,0.004
임지연,0.004
김환희,0.0039
하근희,0.0037
김성진,0.0037
강수환,0.0037
김순녀,0.0036
권영민,0.0036
김자연,0.0036
이예은,0.0034
임성규,0.0034
김관식,0.0032
정미란,0.0031
Sigmund Freud,0.0031
박주혜,0.0031
김보경,0.0031
나병철,0.003
Gilles Deleuze,0.0029
이정석,0.0029
최운식,0.0029
백현주,0.0028
교육부,0.0027
심지섭,0.0027
박현수,0.0026
유정미,0.0025
이태준,0.0024
장민주,0.0024
이재선,0.0023
황수대,0.0023
김숙분,0.0023
조동일,0.0022
남금순,0.0021
권보드래,0.0021
M. H. Abrams,0.0021
조태봉,0.0021
김경흠,0.0021
이인화,0.0019
김요섭,0.0018
이경화,0.0018
김윤정,0.0017
최지훈,0.0017
Slavoj Zizek,0.0016
김명희,0.0015
현은자,0.0015
박목월,0.0014
박진,0.0014
권정생,0.0014
박덕규,0.0014
박태일,0.0013
Fredric Jameson,0.0013
大竹聖美,0.0013
강진호,0.0013
마해송,0.0012
조대현,0.0012
권나무,0.0012
Mikhail Bakhtin,0.0011
윤삼현,0.0011
정인섭,0.0011
이영미,0.0011
최기숙,0.0011
김선영,0.001
김종철,0.001
김만석,0.001
김준오,0.0009
이민주,0.0009
김열규,0.0009
박숙자,0.0009
이현,0.0009
황선미,0.0008
최덕교,0.0008
강소천,0.0008
김중신,0.0008
문선영,0.0008
남미영,0.0008
최원식,0.0008
원유순,0.0008
이상현,0.0007
Gyorgy Lukacs,0.0007
Kathryn Hume,0.0007
고정욱,0.0007
박숙경,0.0007
김종회,0.0007
경희대학교 한국아동문학연구센터,0.0007
오주영,0.0006
Louise Rosenblatt,0.0006
유종호,0.0006
교육과학기술부,0.0006
김서정,0.0006
Martha Nussbaum,0.0006
Walter Benjamin,0.0006
박상률,0.0006
조희웅,0.0006
최시한,0.0006
김려령,0.0006
구인환,0.0006
이정현,0.0006
최남선,0.0006
신형기,0.0006
함윤미,0.0005
James A. Banks,0.0005
신동흔,0.0005
윤금선,0.0005
유은실,0.0005
오세정,0.0005
전영선,0.0005
김정일,0.0005
최용,0.0005
문교부,0.0005
김재용,0.0005
장덕순,0.0005
윤소희,0.0005
황선열,0.0005
어효선,0.0005
김대행,0.0005
이정우,0.0005
Philippe Ariès,0.0005
Tzvetan Todorov,0.0005
최미숙,0.0005
천정환,0.0005
김남중,0.0005
Jack Zipes,0.0005
Linda Sue Park,0.0005
서정오,0.0005
박진영,0.0004
최숙희,0.0004
박인기,0.0004
김은하,0.0004
John Rowe Townsend,0.0004
유영진,0.0004
심상교,0.0004
장영희,0.0004
나선희,0.0004
장성태,0.0004
신원기,0.0004
엄혜숙,0.0004
이진경,0.0004
김이구,0.0004
김정의,0.0004
柄谷行人,0.0004
이금이,0.0004
Rosie Jackson,0.0004
이성자,0.0004
이상금,0.0004
