Target,Frequency
원종찬,292
이재철,229
이원수,97
염희경,93
조은숙,91
윤석중,89
강소천,71
이준연,61
류덕제,60
문교부,60
김상욱,59
최명표,57
신현득,56
Maria Nikolajeva,54
이오덕,53
김제곤,48
장정희,48
김용희,47
박영기,46
편집부,45
이재복,41
권혁준,40
정진헌,40
방정환,40
박태일,37
김요섭,34
선안나,34
윤복진,33
박목월,33
권정생,32
정선혜,32
신헌재,30
박상재,29
권영민,29
장수경,29
나병철,29
Perry Nodelman,29
임성규,27
김경희,27
김종헌,27
교육부,27
김윤식,26
이영철,26
마해송,26
최윤정,25
진선희,24
조대현,23
琴兒,22
김영순,22
신형건,22
박경수,21
최지훈,21
김환희,21
김유진,20
오세란,20
두전하,20
마성은,19
이상현,19
최애순,19
大竹聖美,19
한명숙,19
박숙자,18
주요섭,18
김화선,18
정혜원,18
박금숙,17
경희대학교 한국아동문학연구센터,17
이향근,17
이지호,17
이상금,16
선주원,16
권태응,16
이정석,16
손춘익,16
권혁래,16
권보드래,16
강진호,16
최미선,16
이정현,15
김준오,15
최덕교,15
장영미,15
강정구,15
염창권,14
박홍근,14
이동순,14
조동일,14
천정환,14
박덕규,14
박두순,14
정인섭,14
최원식,14
김자연,14
박진영,14
피천득,14
원유순,14
박현수,14
Martha Nussbaum,13
김현숙,13
Sigmund Freud,13
박종진,13
현은자,13
황정현,13
류희정,13
최기숙,12
김정일,12
어효선,12
윤금선,12
최배은,12
이금이,12
김광식,12
교육과학기술부,12
김정의,12
박화목,12
조유로,12
이영희,12
현덕,12
이재선,12
강용흘,11
이영미,11
김경연,11
박지영,11
김태호,11
최운식,11
서정오,11
김봉희,11
유경환,11
김종회,11
연성흠,11
최원오,11
제해만,11
柄谷行人,11
박숙경,11
황순원,11
이준관,11
노경수,11
Gilles Deleuze,11
장만호,11
송완순,10
겨레아동문학연구회,10
황혜순,10
박성애,10
김만석,10
김성진,10
Slavoj Zizek,10
이충일,10
高木敏雄,10
Bruno Bettelheim,10
김태오,10
최태호,10
Louise Rosenblatt,10
이성훈,10
박종순,10
석용원,10
최남선,10
박혜숙,10
박태원,9
배익천,9
박상률,9
김세희,9
김지은,9
남미영,9
송수연,9
김이구,9
김재용,9
김대행,9
김용의,9
윤정옥,9
이종호,9
대구아동문학회,9
Tzvetan Todorov,9
이진경,9
한용희,9
조희웅,9
황선미,9
김병철,8
북극성,8
이강엽,8
고정욱,8
박세영,8
최은경,8
정진숙,8
천효정,8
유종호,8
한기형,8
Emmanuel Levinas,8
오판진,8
신정아,8
眞田博子,8
Rosie Jackson,8
河原和音,8
김동리,8
김영일,8
박인기,8
정병규,8
Carl Jung,8
Mikhail Bakhtin,8
김미혜,8
이지영,8
고장원,8
서동수,8
임길택,8
김은정,8
이경화,7
Vladimir Propp,7
Philippe Ariès,7
김서정,7
김수영,7
김욱동,7
김효진,7
함윤미,7
Jack Zipes,7
김혜정,7
심의린,7
박용규,7
김지영,7
하청호,7
전명희,7
황선열,7
전택부,7
소영현,7
이성자,7
오현숙,7
오성철,7
이문구,7
정영진,7
임동권,7
Walter Benjamin,7
한국방정환재단,7
정정호,7
최병화,7
이현,6
정진석,6
장덕순,6
이동렬,6
유은실,6
김일성,6
